order,cycle,lane,pc,instruction,rd_write,rd_fp,rd,wdata,trap,cause,tval
316,657,0,800000bc,00000785,1,0,15,00000007,0,0,00000000
317,657,1,800000be,00000611,1,0,12,80000190,0,0,00000000
318,659,0,800000c0,00000691,1,0,13,80000170,0,0,00000000
319,659,1,800000c2,02678b63,0,0,22,00000000,0,0,00000000
320,660,0,800000c6,00279713,1,0,14,0000001c,0,0,00000000
321,661,0,800000ca,00009776,1,0,14,80020090,0,0,00000000
322,664,0,800000cc,00072803,1,0,16,00000015,0,0,00000000
323,669,0,800000d0,00004218,1,0,14,00000015,0,0,00000000
324,670,0,800000d2,00e80563,0,0,10,00000000,0,0,00000000
325,670,1,800000dc,00279713,1,0,14,0000001c,0,0,00000000
326,671,0,800000e0,00009772,1,0,14,80020070,0,0,00000000
327,672,0,800000e2,00006314,1,1,13,41d80000,0,0,00000000
328,676,0,800000e4,0000629c,1,1,15,41d80000,0,0,00000000
329,681,0,800000e6,a0f6a753,1,0,14,00000001,0,0,00000000
330,681,1,800000ea,0000fb69,0,0,19,00000000,0,0,00000000
331,686,0,800000bc,00000785,1,0,15,00000008,0,0,00000000
332,686,1,800000be,00000611,1,0,12,80000194,0,0,00000000
333,688,0,800000c0,00000691,1,0,13,80000174,0,0,00000000
334,688,1,800000c2,02678b63,0,0,22,00000000,0,0,00000000
335,694,0,800000f8,09e00793,1,0,15,0000009e,0,0,00000000
336,694,1,800000fc,00f58463,0,0,8,00000000,0,0,00000000
337,699,0,80000104,00000797,1,0,15,80000104,0,0,00000000
338,707,0,80000108,0947a787,1,1,15,43390000,0,0,00000000
339,711,0,8000010c,a0f727d3,1,0,15,00000001,0,0,00000000
340,711,1,80000110,0000e781,0,0,8,00000000,0,0,00000000
341,716,0,80000118,00020797,1,0,15,80020118,0,0,00000000
342,717,0,8000011c,f2878793,1,0,15,80020040,0,0,00000000
343,718,0,80000120,0000c38c,0,0,0,00000000,0,0,00000000
344,719,0,80000122,0000e3d8,0,0,4,00000000,0,0,00000000
345,719,1,80000124,00020717,1,0,14,80020124,0,0,00000000
346,725,0,80000128,f6c72703,1,0,14,00000015,0,0,00000000
347,726,0,8000012c,0000c798,0,0,8,00000000,0,0,00000000
348,726,1,8000012e,00020717,1,0,14,8002012e,0,0,00000000
349,728,0,80000132,f4272787,1,1,15,41d80000,0,0,00000000
350,729,0,80000136,0000e7dc,0,0,12,00000000,0,0,00000000
351,730,0,80000138,0000cb88,0,0,16,00000000,0,0,00000000
352,730,1,8000013a,c01717d3,1,0,15,000000b9,0,0,00000000
353,731,0,8000013e,000007c2,1,0,15,00b90000,0,0,00000000
354,731,1,80000140,000083c1,1,0,15,000000b9,0,0,00000000
355,732,0,80000142,000005c2,1,0,11,009e0000,0,0,00000000
356,732,1,80000144,00008fcd,1,0,15,009e00b9,0,0,00000000
357,733,0,80000146,10000737,1,0,14,10000000,0,0,00000000
358,740,0,8000014a,0000c75c,0,0,12,00000000,0,0,00000000
359,740,1,8000014c,00a03533,1,0,10,00000000,0,0,00000000
360,741,0,80000150,00008082,0,0,0,00000000,0,0,00000000
361,741,1,80000012,100002b7,1,0,5,10000000,0,0,00000000
362,748,0,80000016,00a2aa23,0,0,20,00000000,0,0,00000000
363,750,0,8000001a,10500073,0,0,0,00000000,0,0,00000000
